sample,rep_number,0.01,0.1,0.3,1,3,10,30,100,300,1000,3000,10000
Vector,1,1.031060707,0.938772666,0.801347041,0.900622773,0.60551427,0.380968592,0.323883589,0.200288305,0.161341536,0.073122298,0.020922357,0.029837458
Vector,2,1.079759518,0.945049724,0.816340306,0.91650241,0.594766848,0.37057538,0.331056905,0.221391214,0.145390484,0.085445,0.021973151,0.033995497
Vector,3,0.966668144,0.883019692,0.773527139,0.962061586,0.577731181,0.389264897,0.327169955,0.201384237,0.143751854,0.089333512,0.021311819,0.02251702
Vector,4,0.922511631,0.8879949,0.775566809,0.860488884,0.588864683,0.322913185,0.295266161,0.225860667,0.124845362,0.071979016,0.024801502,0.019360474
V600E,1,0.897495233,1.035056288,1.101846608,1.022100556,1.035465154,1.18303513,0.956060977,0.799783042,0.539461827,0.180478517,0.089653208,0.08999403
V600E,2,0.986836674,0.993447767,1.13022677,1.106795595,1.1063786,1.293633202,1.045854337,0.882277043,0.543585255,0.217087169,0.08671272,0.074446158
V600E,3,0.991680283,1.0649712,1.154129133,1.058073329,1.063837788,1.310480983,1.021336869,0.873567579,0.540313128,0.231239088,0.08334214,0.085177217
V600E,4,1.12398781,1.125350042,1.178085992,1.065074169,1.138947825,1.01899613,1.08206692,0.885266607,0.472836348,0.236651134,0.077272688,0.076502226
MEK2_C125S,1,1.027319287,0.977259645,1.037308738,1.221000374,1.17302391,1.158907875,0.999882168,0.745855923,0.581676484,0.351387542,0.244974496,0.281616677
MEK2_C125S,2,1.04442039,0.93564345,0.929999247,1.146190473,1.117753105,1.050831819,1.031956144,0.728997744,0.551440946,0.383027653,0.240529734,0.299850383
MEK2_C125S,3,0.946367781,1.001127652,0.945993823,1.153838474,1.178401424,1.078845223,1.072664177,0.749367934,0.537633683,0.353451246,0.23182917,0.291147344
MEK2_C125S,4,0.981892541,0.993876549,0.896193773,1.105389858,1.144617734,0.947703537,1.069467044,0.735641536,0.524060103,0.376526613,0.237659857,0.275206568
p61,1,0.975499046,0.970482139,0.957324604,0.943186247,0.968621693,0.915881739,1.130128353,1.061774656,0.961705332,0.597427106,0.518515893,0.491221724
p61,2,0.984826812,0.998288886,0.905349915,0.961860108,0.999278325,0.932680898,1.239590613,1.075994318,1.01551133,0.68671709,0.520501351,0.463586515
p61,3,1.027456817,1.014256202,0.91781832,0.963510635,1.033443738,0.963923424,1.166549925,1.22561972,0.974153685,0.658375362,0.478436248,0.441012234
p61,4,1.012217325,1.055108005,0.824360347,0.967123905,0.980470993,0.814026693,1.191962343,1.105721824,0.789248419,0.661238877,0.500040985,0.450739003
EGFR,1,1.008111761,1.008460369,0.895641132,0.995119765,0.79553479,0.591057033,0.592863979,0.501429138,0.403813236,0.272799067,0.144400267,0.129982067
EGFR,2,1.028955462,0.954418971,0.879809726,1.001031109,0.676523301,0.532718068,0.566354096,0.50875098,0.419006642,0.287909247,0.134503856,0.124133728
EGFR,3,0.967349767,0.950231709,0.954706017,0.961598193,0.763505136,0.53955482,0.536135361,0.473846894,0.430721554,0.265554312,0.12901622,0.130845913
EGFR,4,0.99558301,0.995930715,0.789056033,1.016367677,0.718480959,0.402733112,0.542028833,0.491246583,0.36922472,0.286082803,0.125303937,0.123523168
NRAS_Q61K,1,0.966255318,1.043506737,1.090387783,1.003802834,0.797939864,0.513543956,0.337477529,0.24892713,0.164596645,0.040482289,0.01065851,0.01783913
NRAS_Q61K,2,1.038425427,1.036036668,1.089528705,0.96571901,0.792785829,0.542883,0.338719208,0.263506253,0.181591039,0.050688371,0.005309046,0.015319553
NRAS_Q61K,3,0.977095351,1.103349435,1.083269458,1.011697227,0.718625353,0.534391743,0.354515094,0.253457066,0.173721853,0.060515908,0.009157079,0.012192972
NRAS_Q61K,4,1.018223904,1.100560545,0.965085349,0.954234162,0.765054405,0.469143516,0.36723742,0.263628813,0.147195747,0.059976412,0.007779656,0.005591687
